DATE,CPALTT01USM657N
1/1/1995,0.400801603
1/2/1995,0.399201597
1/3/1995,0.331345262
1/4/1995,0.330250991
1/5/1995,0.197498354
1/6/1995,0.197109067
1/7/1995,0
1/8/1995,0.262295082
1/9/1995,0.196206671
1/10/1995,0.326370757
1/11/1995,-0.065061809
1/12/1995,-0.065104167
1/1/1996,0.586319218
1/2/1996,0.323834197
1/3/1996,0.516462234
1/4/1996,0.385356455
1/5/1996,0.19193858
1/6/1996,0.06385696
1/7/1996,0.191448628
1/8/1996,0.191082803
1/9/1996,0.317863954
1/10/1996,0.316856781
1/11/1996,0.189513582
1/12/1996,0
1/1/1997,0.315258512
1/2/1997,0.314267756
1/3/1997,0.250626566
1/4/1997,0.125
1/5/1997,-0.062421973
1/6/1997,0.124921924
1/7/1997,0.124766064
1/8/1997,0.186915888
1/9/1997,0.248756219
1/10/1997,0.248138958
1/11/1997,-0.061881188
1/12/1997,-0.123839009
1/1/1998,0.185988841
1/2/1998,0.185643564
1/3/1998,0.185299568
1/4/1998,0.184956843
1/5/1998,0.184615385
1/6/1998,0.122850123
1/7/1998,0.122699387
1/8/1998,0.12254902
1/9/1998,0.122399021
1/10/1998,0.244498778
1/11/1998,0
1/12/1998,-0.06097561
1/1/1999,0.244051251
1/2/1999,0.121728545
1/3/1999,0.303951368
1/4/1999,0.727272727
1/5/1999,0
1/6/1999,0
1/7/1999,0.300842359
1/8/1999,0.23995201
1/9/1999,0.478755236
1/10/1999,0.178677784
1/11/1999,0.059453032
1/12/1999,0
1/1/2000,0.297088532
1/2/2000,0.592417062
1/3/2000,0.824499411
1/4/2000,0.058411215
1/5/2000,0.116754232
1/6/2000,0.524781341
1/7/2000,0.232018561
1/8/2000,0
1/9/2000,0.520833333
1/10/2000,0.172711572
1/11/2000,0.057471264
1/12/2000,-0.057438254
1/1/2001,0.632183908
1/2/2001,0.399771559
1/3/2001,0.227531286
1/4/2001,0.397275823
1/5/2001,0.4522329
1/6/2001,0.16882386
1/7/2001,-0.280898876
1/8/2001,0
1/9/2001,0.450704225
1/10/2001,-0.336511497
1/11/2001,-0.16882386
1/12/2001,-0.394588501
1/1/2002,0.226372383
1/2/2002,0.395256917
1/3/2002,0.562429696
1/4/2002,0.559284116
1/5/2002,0
1/6/2002,0.055617353
1/7/2002,0.111172874
1/8/2002,0.333148251
1/9/2002,0.166021029
1/10/2002,0.165745856
1/11/2002,0
1/12/2002,-0.220628792
1/1/2003,0.442233278
1/2/2003,0.770500826
1/3/2003,0.60076461
1/4/2003,-0.217155266
1/5/2003,-0.163220892
1/6/2003,0.108991826
1/7/2003,0.108873163
1/8/2003,0.380641653
1/9/2003,0.325027086
1/10/2003,-0.107991361
1/11/2003,-0.27027027
1/12/2003,-0.108401084
1/1/2004,0.488334238
